date,lat,lon,rainfall_mm,tmax_c,tmin_c
2024-01-01,19.076,72.878,0.4742742205600986,25.18337833978213,16.622550188859062
2024-01-02,19.076,72.878,0.3169358142749266,23.70396305522197,16.690522129218536
2024-01-03,19.076,72.878,0.6233157798968607,25.051548028233448,18.10437258628242
2024-01-04,19.076,72.878,4.18767586329328,23.127738014054856,16.422738641320855
2024-01-05,19.076,72.878,0.5484576905741347,24.145567288201928,16.99767739736572
2024-01-06,19.076,72.878,0.7991578210999428,24.072473800826405,16.72981154309592
2024-01-07,19.076,72.878,1.1845663513372275,24.75465036167132,18.084836450948107
2024-01-08,19.076,72.878,2.5442493079917003,23.89233435924676,16.482540175989527
2024-01-09,19.076,72.878,0.6991080677658155,25.80434274354209,18.71318477741819
2024-01-10,19.076,72.878,0.6844687114309359,25.305374941749704,18.899978278712457
2024-01-11,19.076,72.878,2.9119916272372013,24.88379729615828,17.977145943470862
2024-01-12,19.076,72.878,2.234627759062365,24.95941286144074,18.50254371189825
2024-01-13,19.076,72.878,1.974049599192264,25.539788301454585,17.37406364557005
2024-01-14,19.076,72.878,1.3568872330400243,24.11187192799629,16.891758127014946
2024-01-15,19.076,72.878,6.234682082479127,26.141763668839577,17.79546785154693
2024-01-16,19.076,72.878,1.3818361064629765,25.789498696722266,19.35847996055655
2024-01-17,19.076,72.878,3.92965326645539,24.642180570885373,18.328561275891097
2024-01-18,19.076,72.878,1.6684910418721717,23.952662254646715,16.217100425845427
2024-01-19,19.076,72.878,3.216856840224497,26.26128604617929,18.91948392911006
2024-01-20,19.076,72.878,2.43714763593503,25.18593068461832,18.551350874664248
2024-01-21,19.076,72.878,1.0403362304044248,25.227698557088747,17.271026840617516
2024-01-22,19.076,72.878,3.3808615617415474,25.833452331607845,19.21804965873257
2024-01-23,19.076,72.878,3.3331854300178305,25.83682838412677,18.498189734491447
2024-01-24,19.076,72.878,2.099705837909305,24.35873742512772,16.3005777352442
2024-01-25,19.076,72.878,0.7224219786371138,25.152497915252017,17.849967872020503
2024-01-26,19.076,72.878,6.757996648574482,27.27125561802054,19.52436147401264
